"scenario_id","method","median_g","boundary_hit_frac","g_mode","est_version","phase","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p12_rho0.90_exponential","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_CV",0,0.837,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_Stable",0,0.94,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_CV",0,0.83,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_Stable",0,0.965,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_Oracle",0,0.993,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_Oracle",0,0.99,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","RTE_CV",0,0.844,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","RTE_Stable",0,0.96,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","PMM2_RTE_CV",0,0.812,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","PMM2_RTE_Stable",0,0.954,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","RTE_Oracle",0,0.997,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","PMM2_RTE_Oracle",0,0.995,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","RTE_CV",0,0.859,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","RTE_Stable",0,0.958,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","PMM2_RTE_CV",0,0.824,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","PMM2_RTE_Stable",0,0.965,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","RTE_Oracle",0,0.994,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_lognormal","PMM2_RTE_Oracle",0,0.994,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","RTE_CV",0,0.841,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","RTE_Stable",0,0.955,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","PMM2_RTE_CV",0,0.839,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","PMM2_RTE_Stable",0,0.947,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","RTE_Oracle",0,0.996,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_normal","PMM2_RTE_Oracle",0,0.998,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","RTE_CV",0,0.748,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","RTE_Stable",0,0.885,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","PMM2_RTE_CV",0,0.743,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","PMM2_RTE_Stable",0,0.898,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_exponential","PMM2_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","RTE_CV",0,0.762,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","RTE_Stable",0,0.888,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","PMM2_RTE_CV",0,0.748,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","PMM2_RTE_Stable",0,0.877,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_gamma2","PMM2_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","RTE_CV",0,0.789,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","RTE_Stable",0,0.904,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","PMM2_RTE_CV",0,0.768,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","PMM2_RTE_Stable",0,0.9,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_lognormal","PMM2_RTE_Oracle",0,0.999,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","RTE_CV",0,0.763,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","RTE_Stable",0,0.887,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","PMM2_RTE_CV",0,0.787,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","PMM2_RTE_Stable",0,0.892,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.99_normal","PMM2_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","RTE_CV",0,0.678,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","RTE_Stable",0,0.913,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","PMM2_RTE_CV",0.5,0.58,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","PMM2_RTE_Stable",0,0.941,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","RTE_Oracle",0,0.931,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_exponential","PMM2_RTE_Oracle",0,0.888,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","RTE_CV",0,0.678,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","RTE_Stable",0,0.947,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","PMM2_RTE_CV",0.25,0.607,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","PMM2_RTE_Stable",0,0.942,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","RTE_Oracle",0,0.932,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_gamma2","PMM2_RTE_Oracle",0,0.894,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.90_lognormal","RTE_CV",0,0.647,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
