"dataset_id","scale","dataset","n","cond","lambda_max","lambda_min","gamma3","gamma4","g2","g3","g3_lo","g3_hi","dispatch","dispatch_status","method","convergence_rate","est_version","phase","g_mode","reps","test_n","B_boot","delta_main","seed_base","generated"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","log1p","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,0.945466025891925,4.94461545670829,0.871280704930554,0.846117039821073,0.760194395611427,0.891572342814796,"PMM2","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"college_expend","raw","ISLR2::College / Expend",777,14.6271327085787,4.98866281464682,0.0233166281929505,4.80812722341049,42.5809152439658,0.481435334604752,0.553812614710296,0.394694520782063,0.773232479204097,"PMM2","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","log1p","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,0.208966055772446,1.38052733583784,0.987082840004821,0.953750711437282,0.920720895325586,0.977775969572581,"OLS","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"instinnovation_value","raw","sandwich::InstInnovation / value",3289,26.6516796366058,5.12752704812346,0.00721869664310051,8.28701912295445,139.436491806459,0.514448604691164,0.629602681214124,0.460368504430711,0.696142521239515,"PMM2","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","log1p","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,1.30098275326838,5.0413604073168,0.759626545668217,0.904031292346473,0.830378385476463,0.948886077197468,"PMM2","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","OLS",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","PMM3_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","PMM2_RTE_Stable",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","RTE_CV",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","PMM3",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
"remifentanil_conc","raw","nlme::Remifentanil / conc",1992,86.7600823581597,3.81529351191433,0.000506860027492963,3.74209669037099,25.6271216998408,0.493132589336434,0.703867941842741,0.609676433100272,0.797730060812049,"PMM2","publication","PMM2",1,"0.5.0-pmmrte","screening","deployable",500,2000,100,0.03,20260612,"2026-06-28 18:28:43 EEST"
